2024-12-07 13:28:08.680299, D0053, Executing line noise filter
2024-12-07 14:40:01.443318, D0053, Line noise filter completed
2024-12-07 14:40:01.444435, D0053, Executing outlier chs removal
2024-12-07 14:41:29.946047, D0053, Outlier chs removal completed
2024-12-07 14:41:29.961683, D0053, Executing wavelet
2024-12-07 15:17:34.624059, D0053, Wavelet completed
2024-12-07 15:17:34.624059, D0054, Executing wavelet
2024-12-07 15:30:40.154344, D0054, Wavelet completed
2024-12-07 15:30:40.154344, D0055, Executing outlier chs removal
2024-12-07 15:31:00.834257, D0055, Outlier chs removal failed with error: Outlier channels for the D0055 have been removed. Skip outlier channels removal now. If you want to re-do it, mark all the channels in the derivative as good and n/a for status first.
2024-12-07 15:31:00.834257, D0055, Executing wavelet
2024-12-07 17:15:30.396329, D0055, Wavelet completed
2024-12-07 17:15:30.396329, D0057, Executing outlier chs removal
2024-12-07 17:16:47.411933, D0057, Outlier chs removal completed
2024-12-07 17:16:47.411933, D0057, Executing wavelet
2024-12-07 19:03:10.154816, D0057, Wavelet completed
2024-12-07 19:03:10.154816, D0059, Executing outlier chs removal
2024-12-07 19:04:30.241364, D0059, Outlier chs removal completed
2024-12-07 19:04:30.241364, D0059, Executing wavelet
2024-12-07 21:20:34.796311, D0059, Wavelet completed
2024-12-07 21:20:34.796311, D0063, Executing outlier chs removal
2024-12-07 21:23:16.865000, D0063, Outlier chs removal completed
2024-12-07 21:23:16.865000, D0063, Executing wavelet
