2024-12-07 11:59:21.735825, D0053, Executing outlier chs removal
2024-12-07 11:59:21.735825, D0053, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.735825, D0053, Executing wavelet
2024-12-07 11:59:21.735825, D0053, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.736825, D0054, Executing outlier chs removal
2024-12-07 11:59:21.736825, D0054, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.737826, D0054, Executing wavelet
2024-12-07 11:59:21.737826, D0054, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.738826, D0055, Executing outlier chs removal
2024-12-07 11:59:21.738826, D0055, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.738826, D0055, Executing wavelet
2024-12-07 11:59:21.738826, D0055, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.739826, D0057, Executing outlier chs removal
2024-12-07 11:59:21.739826, D0057, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.739826, D0057, Executing wavelet
2024-12-07 11:59:21.739826, D0057, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.740826, D0059, Executing outlier chs removal
2024-12-07 11:59:21.740826, D0059, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.740826, D0059, Executing wavelet
2024-12-07 11:59:21.740826, D0059, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.741825, D0063, Executing outlier chs removal
2024-12-07 11:59:21.741825, D0063, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.742825, D0063, Executing wavelet
2024-12-07 11:59:21.742825, D0063, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.742825, D0065, Executing line noise filter
2024-12-07 11:59:21.742825, D0065, Line noise filter failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.743962, D0065, Executing outlier chs removal
2024-12-07 11:59:21.743962, D0065, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.743962, D0065, Executing wavelet
2024-12-07 11:59:21.743962, D0065, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.744967, D0066, Executing line noise filter
2024-12-07 11:59:21.744967, D0066, Line noise filter failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.744967, D0066, Executing outlier chs removal
2024-12-07 11:59:21.744967, D0066, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.745964, D0066, Executing wavelet
2024-12-07 11:59:21.745964, D0066, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.745964, D0068, Executing line noise filter
2024-12-07 11:59:21.745964, D0068, Line noise filter failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.746963, D0068, Executing outlier chs removal
2024-12-07 11:59:21.746963, D0068, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.747964, D0068, Executing wavelet
2024-12-07 11:59:21.747964, D0068, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.747964, D0069, Executing line noise filter
2024-12-07 11:59:21.747964, D0069, Line noise filter failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.748965, D0069, Executing outlier chs removal
2024-12-07 11:59:21.748965, D0069, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.748965, D0069, Executing wavelet
2024-12-07 11:59:21.748965, D0069, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.749964, D0070, Executing line noise filter
2024-12-07 11:59:21.749964, D0070, Line noise filter failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.750964, D0070, Executing outlier chs removal
2024-12-07 11:59:21.750964, D0070, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.750964, D0070, Executing wavelet
2024-12-07 11:59:21.750964, D0070, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.751963, D0071, Executing line noise filter
2024-12-07 11:59:21.751963, D0071, Line noise filter failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.751963, D0071, Executing outlier chs removal
2024-12-07 11:59:21.752964, D0071, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.752964, D0071, Executing wavelet
2024-12-07 11:59:21.752964, D0071, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.753964, D0077, Executing line noise filter
2024-12-07 11:59:21.753964, D0077, Line noise filter failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.753964, D0077, Executing outlier chs removal
2024-12-07 11:59:21.753964, D0077, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.754964, D0077, Executing wavelet
2024-12-07 11:59:21.754964, D0077, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.755963, D0079, Executing line noise filter
2024-12-07 11:59:21.755963, D0079, Line noise filter failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.755963, D0079, Executing outlier chs removal
2024-12-07 11:59:21.755963, D0079, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.756963, D0079, Executing wavelet
2024-12-07 11:59:21.756963, D0079, Wavelet failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.757964, D0081, Executing line noise filter
2024-12-07 11:59:21.757964, D0081, Line noise filter failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.757964, D0081, Executing outlier chs removal
2024-12-07 11:59:21.757964, D0081, Outlier chs removal failed with error: [WinError 3] The system cannot find the path specified: 'C:\\Users\\bl314\\Box\\CoganLab'
2024-12-07 11:59:21.758963, D0081, Executing wavelet
