bacon	0.257747	0.506293	0.637698	0.895572	0.596819	0.640395	0.151341	0.034504	0.016379	0.062398	0.631519	0.706266	0.483699	0.294863	0.095156	0.008989	
bagel	0.264739	0.440639	0.635553	0.878405	0.615139	0.490897	0.147414	0.006111	0.003693	0.023224	0.527514	0.813624	0.535101	0.381014	0.065422	0.008281	
banel	0.390955	0.580557	0.683078	0.501418	0.419474	0.898987	0.673444	0.297737	0.085521	0.429215	0.733961	0.808987	0.541780	0.435459	0.352527	0.017256	
banic	0.268384	0.567269	0.638547	0.527354	0.481462	0.968587	0.717694	0.195055	0.059217	0.261585	0.794722	0.704463	0.345896	0.449322	0.323422	0.005941	
baron	0.238490	0.547824	0.272506	0.691086	0.199953	0.585243	0.786043	0.320140	0.162776	0.584199	0.655041	0.418920	0.416337	0.302628	0.174751	0.006790	
basin	0.556447	0.835634	0.839051	0.657656	0.794699	0.491097	0.096584	0.021189	0.008441	0.052187	0.528371	0.578576	0.357669	0.179739	0.207716	0.413996	
belet	0.293454	0.736871	0.171233	0.901248	0.269880	0.688961	0.712626	0.411835	0.287438	0.627184	0.311245	0.509855	0.311848	0.322172	0.278275	0.015720	
berin	0.214899	0.517005	0.563670	0.710097	0.326718	0.791452	0.712485	0.150730	0.090950	0.572442	0.689611	0.439923	0.456009	0.307955	0.184367	0.009575	
beris	0.112276	0.487021	0.093366	0.684823	0.461091	0.879445	0.712574	0.099203	0.067898	0.611116	0.785093	0.530303	0.514776	0.414539	0.055206	0.017263	
bison	0.398293	0.462088	0.681652	0.443684	0.429264	0.724776	0.813707	0.426582	0.388849	0.454661	0.444094	0.507380	0.426345	0.258313	0.365000	0.344069	
bonus	0.353502	0.421098	0.715880	0.595557	0.620362	0.935614	0.754522	0.461581	0.614632	0.054284	0.021381	0.213802	0.402034	0.177215	0.025483	0.000326	
boreb	0.231783	0.711038	0.268672	0.976373	0.468806	0.819168	0.503216	0.516070	0.404450	0.233443	0.158746	0.064664	0.132194	0.085424	0.000590	0.000000	
boril	0.112503	0.400803	0.568531	0.807111	0.516976	0.970447	0.655449	0.463822	0.370822	0.182442	0.104159	0.083000	0.000000	0.063109	0.004162	0.000310	
cabin	0.306601	0.231852	0.519054	0.274526	0.340252	0.588929	0.851541	0.844983	0.569814	0.787651	0.680978	0.452900	0.715289	0.518440	0.160989	0.024905	
camel	0.708036	0.726206	0.679523	0.365986	0.468835	0.582287	0.655626	0.860322	0.473357	0.830849	0.662148	0.750612	0.747572	0.442217	0.308304	0.043699	
caris	0.083273	0.592408	0.549803	0.854119	0.340778	0.808636	0.661233	0.283408	0.081393	0.598267	0.846213	0.669822	0.553838	0.525764	0.179425	0.067328	
casef	0.365334	0.448099	0.549113	0.228282	0.144859	0.453562	0.757139	0.760662	0.486863	0.731054	0.752045	0.679113	0.812286	0.454208	0.220169	0.389426	
cazel	0.424163	0.433060	0.474661	0.190455	0.356357	0.673478	0.806513	0.998660	0.580565	0.714224	0.712930	0.555998	0.541552	0.371428	0.088564	0.013759	
civic	0.013254	0.435171	0.686836	0.738032	0.932794	0.509438	0.178599	0.105044	0.019162	0.241279	0.486126	0.612906	0.211425	0.409684	0.454660	0.803249	
civil	0.001090	0.043194	0.381918	0.586920	0.924011	0.318061	0.103994	0.036163	0.023387	0.419890	0.218117	0.385329	0.146198	0.174083	0.275653	0.726239	
cobin	0.633072	0.255320	0.478112	0.106674	0.419316	0.727341	0.929999	0.899642	0.717893	0.332037	0.468047	0.453456	0.567498	0.508453	0.179279	0.012596	
colon	0.274188	0.412649	0.696943	0.524370	0.621701	0.987850	0.646273	0.641074	0.153830	0.023537	0.015885	0.142390	0.240812	0.218097	0.016287	0.004239	
comet	0.565428	0.561412	0.633859	0.491034	0.413627	0.558067	0.641570	0.983048	0.866003	0.438678	0.378841	0.425720	0.672095	0.382113	0.342458	0.026375	
comic	0.529324	0.562826	0.624885	0.348912	0.326603	0.503058	0.744381	0.837298	1.000000	0.432332	0.346130	0.376236	0.708112	0.290521	0.232644	0.046312	
coral	0.009395	0.453116	0.459648	0.757933	0.463816	0.910819	0.725770	0.670737	0.295206	0.027109	0.094125	0.016564	0.076651	0.067858	0.014830	0.000815	
davel	0.194316	0.388073	0.797718	0.648091	0.850485	0.457459	0.048553	0.010424	0.003543	0.013560	0.541636	0.694016	0.443203	0.316733	0.089338	0.057671	
delin	0.030688	0.484572	0.467175	0.754562	0.306437	0.720956	0.691805	0.297459	0.215122	0.443402	0.346551	0.325707	0.313676	0.418995	0.495062	0.158351	
demon	0.056574	0.355900	0.778807	0.818835	0.733593	0.093450	0.025400	0.005657	0.043573	0.013604	0.193755	0.925122	0.527499	0.346539	0.459473	0.119484	
denim	0.241272	0.438743	0.709063	0.560573	0.677048	0.923348	0.659433	0.367178	0.170041	0.591876	0.549064	0.584733	0.461961	0.324375	0.302822	0.005724	
devim	0.008041	0.513712	0.478259	0.706952	0.433245	0.764584	0.894411	0.287194	0.180382	0.611690	0.470613	0.437544	0.272485	0.329937	0.457549	0.375076	
facet	0.112713	0.121292	0.409307	0.109042	0.318919	0.552329	0.900043	0.780307	0.460121	0.749607	0.515628	0.277610	0.587160	0.375483	0.036169	0.033304	
fatal	0.000000	0.204464	0.698511	0.519633	0.933841	0.533531	0.152817	0.035664	0.009274	0.076959	0.673491	0.824504	0.470376	0.500388	0.228250	0.113904	
fenid	0.041055	0.135785	0.472694	0.311262	0.607529	0.784777	0.604603	0.273801	0.104529	0.604662	0.545126	0.546942	0.371589	0.376289	0.231573	0.021368	
feral	0.001259	0.078882	0.312392	0.138112	0.491196	1.000000	0.696298	0.165319	0.094915	0.589641	0.710214	0.572322	0.586134	0.383677	0.226051	0.018064	
fetal	0.006186	0.101824	0.458746	1.000000	0.432922	0.000000	0.039987	0.000000	0.000805	0.076295	0.425146	0.995871	0.710848	0.671678	0.374226	0.367189	
focal	0.008545	0.034183	0.463399	0.496574	0.893829	0.674766	0.337262	0.689369	0.340520	0.088077	0.165371	0.227147	0.370831	0.363285	0.198336	0.185444	
folip	0.030743	0.206654	0.405906	0.292275	0.213039	0.644322	0.885731	0.821823	0.586802	0.060818	0.169853	0.312764	0.261658	0.491926	0.075642	0.013317	
forum	0.013960	0.075582	0.533433	0.315150	0.870487	0.867730	0.603706	0.622514	0.033820	0.032537	0.054767	0.126729	0.331750	0.154983	0.090666	0.077019	
galed	0.000905	0.410805	0.419547	0.765962	0.361723	0.435658	0.699390	0.542763	0.367943	0.603270	0.663090	0.473823	0.405208	0.302583	0.268016	0.011137	
galef	0.027434	0.458092	0.371523	0.796414	0.273681	0.538866	0.691099	0.583833	0.546605	0.629243	0.574775	0.467600	0.432310	0.403843	0.402299	0.007877	
galel	0.043304	0.226720	0.176787	0.493821	0.229880	0.551030	0.741726	0.533792	0.402775	0.688800	0.730408	0.570912	0.572644	0.267886	0.266690	0.018498	
galem	0.058416	0.576833	0.570931	0.679406	0.260060	0.429112	0.659457	0.592175	0.364029	0.602615	0.638465	0.408960	0.589364	0.539316	0.166670	0.021765	
gapel	0.042427	0.292980	0.393504	0.467328	0.294056	0.487024	0.767067	0.687469	0.435524	0.781129	0.683025	0.439563	0.520598	0.313078	0.375740	0.063213	
givel	0.009260	0.721725	0.738101	0.919310	0.837688	0.705382	0.167940	0.298589	0.026690	0.165151	0.562131	0.484144	0.395990	0.155956	0.072623	0.004101	
gorel	0.003941	0.550683	0.371295	0.871582	0.475848	0.863324	0.399205	0.521139	0.345293	0.086452	0.144167	0.000000	0.029490	0.171917	0.003177	0.002524	
