bacon	0.296571	0.679119	0.654061	0.912844	0.623807	0.648764	0.137363	0.029119	0.015504	0.062601	0.641239	0.716769	0.487837	0.308751	0.148496	0.014086	
bagel	0.294559	0.562094	0.633640	0.886278	0.650092	0.561301	0.208617	0.234761	0.049883	0.016795	0.518351	0.811275	0.528009	0.385130	0.077717	0.011942	
banel	0.433478	0.696933	0.692180	0.575856	0.439453	0.899617	0.678323	0.355078	0.158576	0.440505	0.735245	0.818001	0.541304	0.442179	0.399292	0.025890	
banic	0.310589	0.598114	0.659623	0.499222	0.495335	0.974619	0.717401	0.193477	0.061496	0.275164	0.806595	0.721089	0.349668	0.467902	0.375890	0.013435	
baron	0.278518	0.606174	0.331545	0.685306	0.199569	0.583730	0.785836	0.319984	0.170117	0.612108	0.666829	0.430677	0.419611	0.313882	0.212093	0.010565	
basin	0.609154	0.900444	0.847500	0.663079	0.814796	0.495149	0.081116	0.015713	0.007620	0.060348	0.534485	0.590422	0.362493	0.202675	0.261249	0.508255	
belet	0.335553	0.780903	0.251576	0.882496	0.264908	0.699016	0.710550	0.410935	0.296494	0.644605	0.321500	0.521944	0.319045	0.354423	0.501511	0.167038	
berin	0.248983	0.624163	0.581845	0.715666	0.344483	0.795448	0.709500	0.147637	0.094977	0.603849	0.702700	0.450436	0.458298	0.317175	0.220605	0.014678	
beris	0.133618	0.582877	0.206801	0.690912	0.467747	0.883276	0.709258	0.097913	0.068926	0.623606	0.787445	0.554719	0.513031	0.430730	0.124821	0.612616	
bison	0.448475	0.497386	0.696273	0.501561	0.445763	0.728853	0.810831	0.424732	0.398223	0.475362	0.449863	0.518725	0.432625	0.277457	0.425499	0.444583	
bonus	0.413533	0.464787	0.730974	0.575146	0.636985	0.941407	0.754052	0.462306	0.628231	0.058437	0.026433	0.224605	0.409141	0.191419	0.196766	0.423177	
boreb	0.267129	0.755424	0.328796	0.959068	0.474243	0.839438	0.499043	0.508649	0.421260	0.245377	0.171552	0.065703	0.133297	0.092849	0.000000	0.000000	
boril	0.132126	0.559773	0.576105	0.816163	0.536964	0.983909	0.648535	0.474873	0.400093	0.192036	0.131012	0.091695	0.000000	0.067133	0.023116	0.000534	
cabin	0.351953	0.388381	0.546852	0.535881	0.378130	0.597384	0.843041	0.837568	0.574658	0.798809	0.682059	0.464938	0.712206	0.524204	0.221608	0.037732	
camel	0.748609	0.783162	0.700132	0.521728	0.486439	0.600428	0.659623	0.856248	0.473467	0.836023	0.655655	0.750534	0.743063	0.444868	0.347664	0.061769	
caris	0.097195	0.734795	0.548157	0.834109	0.361854	0.846251	0.644390	0.269708	0.086799	0.640779	0.838419	0.662261	0.534880	0.518458	0.274527	0.397728	
casef	0.446810	0.463797	0.555273	0.224585	0.190510	0.496574	0.745206	0.749010	0.487467	0.741115	0.748243	0.691254	0.812858	0.502632	0.437590	0.739719	
cazel	0.458219	0.591047	0.526256	0.509936	0.409448	0.725355	0.791502	0.984124	0.579093	0.716576	0.703245	0.552630	0.532598	0.369729	0.172793	0.241042	
civic	0.029502	0.594106	0.639221	0.842617	0.912053	0.778720	0.263455	0.095047	0.025741	0.271648	0.613100	0.645619	0.228039	0.440251	0.552191	0.844064	
civil	0.001320	0.479820	0.458355	0.824535	0.917310	0.520511	0.275256	0.341016	0.035121	0.400338	0.196947	0.377444	0.223970	0.202428	0.294869	0.781546	
cobin	0.680463	0.492646	0.519771	0.591864	0.468068	0.743286	0.917812	0.888311	0.719103	0.349553	0.476312	0.496972	0.565025	0.517653	0.219718	0.019191	
colon	0.294997	0.715804	0.699369	0.905905	0.652401	0.969507	0.623227	0.626860	0.181429	0.038067	0.014392	0.151483	0.255696	0.232941	0.024293	0.006044	
comet	0.609073	0.635234	0.641575	0.645390	0.436535	0.548150	0.631920	0.974901	0.870606	0.449334	0.388807	0.440344	0.672425	0.480332	0.899938	0.189280	
comic	0.568187	0.761330	0.630813	0.674530	0.358872	0.509619	0.734042	0.825091	1.000000	0.450255	0.453915	0.447778	0.711981	0.320018	0.304284	0.069310	
coral	0.009371	0.589734	0.442268	0.813278	0.478778	0.969903	0.703443	0.645580	0.401207	0.086572	0.100644	0.000000	0.049689	0.061979	0.019261	0.001063	
davel	0.215193	0.517828	0.785392	0.741926	0.853695	0.662389	0.094972	0.258123	0.012139	0.005394	0.527137	0.686353	0.427739	0.309574	0.102459	0.077714	
delin	0.039063	0.561553	0.496185	0.753846	0.322110	0.725741	0.691209	0.296922	0.223624	0.461515	0.357815	0.335887	0.321431	0.431606	0.551851	0.215002	
demon	0.071986	0.455924	0.790620	0.841030	0.754397	0.000000	0.000000	0.000000	0.044447	0.010259	0.251563	0.937454	0.530568	0.357262	0.513112	0.165408	
denim	0.281488	0.491190	0.724792	0.591023	0.697250	0.929281	0.658805	0.367805	0.181343	0.610877	0.556937	0.598549	0.467226	0.336742	0.352049	0.008963	
devim	0.010444	0.652279	0.508129	0.710522	0.448233	0.770669	0.893528	0.287654	0.193663	0.629405	0.476633	0.449127	0.274304	0.340963	0.512530	0.458266	
facet	0.285062	0.192272	0.445475	0.187182	0.333683	0.568961	0.895384	0.776441	0.467781	0.764786	0.522377	0.295451	0.589970	0.405693	0.166715	0.266285	
fatal	0.076633	0.341658	0.708369	0.617261	0.950170	0.545001	0.160997	0.073827	0.021311	0.112638	0.675412	0.834375	0.470861	0.506315	0.265658	0.157288	
fenid	0.065830	0.499573	0.507243	0.508849	0.624524	0.788418	0.598528	0.269163	0.106795	0.617654	0.565581	0.567526	0.374453	0.405418	0.277758	0.032326	
feral	0.001602	0.458390	0.391980	0.558207	0.482602	0.985018	0.698430	0.200752	0.186386	0.626397	0.713808	0.555663	0.567333	0.378128	0.243253	0.023800	
fetal	0.141694	0.480947	0.649064	0.982842	0.745792	0.467394	0.105887	0.060777	0.054417	0.137960	0.393157	0.965953	0.616542	0.548669	0.317201	0.290138	
focal	0.014569	0.000000	0.525811	0.552038	0.923948	0.678430	0.338359	0.693009	0.341365	0.084710	0.161556	0.222428	0.368129	0.372975	0.228570	0.238936	
folip	0.275742	0.488434	0.432311	0.677441	0.419557	0.635829	0.862112	0.800200	0.577233	0.059056	0.159141	0.305843	0.243172	0.482904	0.106634	0.018595	
forum	0.008945	0.594484	0.565083	0.779250	0.801989	0.946194	0.557081	0.616685	0.388889	0.200650	0.142047	0.063620	0.229146	0.114563	0.071904	0.069664	
galed	0.001609	0.581956	0.453049	0.831661	0.385621	0.456074	0.696211	0.541808	0.378345	0.620332	0.668411	0.484135	0.407723	0.318114	0.312416	0.017161	
galef	0.042836	0.497276	0.415725	0.783527	0.276057	0.557449	0.691471	0.581868	0.556911	0.648584	0.580199	0.477954	0.435327	0.415453	0.455005	0.017060	
galel	0.052387	0.332571	0.258623	0.665351	0.316892	0.615272	0.728025	0.528049	0.403062	0.692383	0.722499	0.568669	0.561812	0.267150	0.301822	0.026586	
galem	0.072534	0.629881	0.590229	0.668392	0.260376	0.422209	0.666905	0.594511	0.386148	0.618645	0.643445	0.417395	0.595077	0.549675	0.207757	0.033114	
gapel	0.161052	0.498267	0.434216	0.449343	0.304402	0.491699	0.765737	0.691435	0.446507	0.799063	0.689139	0.449750	0.525077	0.323715	0.427077	0.092223	
givel	0.015095	0.768599	0.751390	0.906276	0.857246	0.714440	0.164319	0.366202	0.027391	0.172080	0.568496	0.495228	0.399354	0.165877	0.091219	0.006395	
gorel	0.004113	0.632237	0.403185	0.852881	0.487761	0.885376	0.405940	0.537932	0.356052	0.085585	0.150741	0.032718	0.037858	0.182276	0.006672	0.003767	
halet	0.007926	0.549249	0.519732	0.857040	0.336949	0.528858	0.726339	0.738938	0.592479	0.748127	0.469284	0.498868	0.332115	0.457258	0.538729	0.155216	
havel	0.012121	0.741634	0.844036	0.832656	0.708879	0.685176	0.182931	0.378464	0.012198	0.024947	0.427958	0.715069	0.394607	0.225385	0.038154	0.007062	
haven	0.114339	0.703806	0.948063	0.863817	0.818999	0.413479	0.046652	0.005593	0.000000	0.080665	0.256658	0.789175	0.266275	0.237698	0.095251	0.002969	
havoc	0.000438	0.208113	0.560193	0.216918	0.384399	0.622504	0.892504	1.000000	0.666923	0.606311	0.642758	0.423271	0.669039	0.370508	0.250252	0.043855	
hazel	0.040857	0.609697	0.917397	0.682974	0.897337	0.332837	0.086315	0.073714	0.059968	0.000000	0.282123	0.701788	0.207254	0.338212	0.652622	0.423651	
helic	0.008003	0.689970	0.483151	0.795944	0.412837	0.759943	0.969812	0.345048	0.335767	0.576028	0.291995	0.536954	0.348968	0.233414	0.407630	0.034099	
herib	0.006530	0.789247	0.476906	0.879126	0.402321	0.741295	0.773417	0.218969	0.136421	0.601069	0.780101	0.565028	0.383801	0.354981	0.267431	0.004444	
humor	0.001849	0.518338	0.841493	0.694840	0.963990	0.405977	0.152460	0.061730	0.130775	0.338494	0.374775	0.583439	0.333290	0.150834	0.108803	0.005721	
janem	0.005011	0.439290	0.667260	0.545675	0.716309	0.894395	0.600224	0.324043	0.144719	0.579314	0.769706	0.715108	0.765685	0.763307	0.449682	0.329861	
janep	0.078792	0.386814	0.629967	0.425331	0.675535	0.816517	0.839437	0.499313	0.175853	0.672651	0.765458	0.628512	0.565572	0.905544	0.330097	0.264598	
japel	0.132632	0.222341	0.206813	0.336209	0.606164	0.657518	0.755887	0.539909	0.395288	0.644819	0.612111	0.573414	0.675519	0.732472	0.355920	0.210296	
jokeb	0.009782	0.339002	0.776370	0.663907	0.896788	0.884747	0.337335	0.195228	0.281932	0.347494	0.397752	0.269795	0.828308	0.665131	0.478469	0.390682	
jokel	0.012080	0.495677	0.627841	0.623109	0.683495	0.920622	0.216277	0.292330	0.204636	0.235033	0.277991	0.259326	1.000000	0.767030	0.407452	0.445697	
jural	0.005810	0.626808	0.464706	1.000000	0.648501	0.611664	0.207333	0.376636	0.388787	0.202255	0.274430	0.144736	0.888899	1.000000	0.458574	0.381049	
kelic	0.460490	0.621177	0.407768	0.751186	0.600224	0.752701	0.593266	0.425939	0.358714	0.687302	0.642150	0.737913	0.570453	0.348201	0.307605	0.086096	
kevil	1.000000	1.000000	0.682298	0.819847	0.525408	0.858200	0.743814	0.580287	0.198069	0.490441	0.548854	0.672223	0.876925	0.514713	0.146719	0.155637	
labin	0.029175	0.635222	0.516030	0.611374	0.352608	0.645318	0.768049	0.598471	0.380076	0.745913	0.393728	0.621590	0.468036	0.540914	0.293318	0.010814	
lakeb	0.058419	0.634627	0.758975	0.795816	0.784669	0.704902	0.131763	0.083756	0.076505	0.248891	0.440500	0.554735	0.320777	0.145824	0.097699	0.021868	
laken	0.043283	0.474959	0.791863	0.718373	0.995804	0.577039	0.057964	0.157821	0.091867	0.266351	0.423329	0.595709	0.300048	0.085355	0.083484	0.019001	
lamin	0.016618	0.697200	0.774947	0.839798	0.490040	0.510707	0.597650	0.303422	0.147653	0.457904	0.484564	0.722117	0.520635	0.486216	0.361834	0.011499	
latin	0.030005	0.470164	0.582972	0.710862	0.359727	0.635781	0.782884	0.748517	0.483565	0.822610	0.333277	0.630831	0.550399	0.491228	0.155268	0.002251	
legal	0.132373	0.778266	0.981352	0.737562	0.773903	0.457422	0.115646	0.134634	0.140701	0.066778	0.089089	0.874003	0.273659	0.078620	0.091581	0.004157	
level	0.066544	0.387302	0.539885	0.603983	0.500669	0.628431	0.877605	0.348597	0.416459	0.471764	0.097835	0.420776	0.373335	0.275684	0.035275	0.027408	
levim	0.018153	0.565279	0.659788	0.820109	0.489313	0.656780	0.841344	0.284971	0.219280	0.580570	0.259578	0.605579	0.286852	0.458394	0.181181	0.014154	
libel	0.109866	0.520604	0.651673	0.558596	0.409631	0.685632	0.789562	0.682560	0.722130	0.505973	0.394494	0.484833	0.506147	0.376586	0.266362	0.010291	
likel	0.021025	0.470473	0.783083	0.575865	0.660073	0.754351	0.776398	0.394468	0.450904	0.522052	0.431006	0.388143	0.455210	0.286398	0.090832	0.005764	
limid	0.026232	0.769685	0.927674	0.791923	0.625593	0.788421	0.190648	0.058177	0.044710	0.206761	0.453535	0.524317	0.439137	0.350541	0.024022	0.015822	
linen	0.038369	0.751623	0.930858	0.797124	0.642220	0.708186	0.315006	0.076150	0.219110	0.217025	0.413982	0.289708	0.264654	0.266985	0.003287	0.004980	
lipit	0.329804	0.697575	0.705967	0.769136	0.641988	0.947440	0.325349	0.104333	0.151713	0.289848	0.304637	0.489823	0.294989	0.355293	0.398000	0.215573	
logic	0.153146	0.356814	0.479712	0.613815	0.459316	0.650103	0.928156	0.748772	0.822425	0.239461	0.197958	0.481234	0.690835	0.548897	0.174020	0.063141	
lomic	0.008840	0.575608	0.618678	0.758628	0.413152	0.370524	0.702036	0.704328	0.663402	0.101581	0.291018	0.373743	0.409363	0.325967	0.146855	0.013893	
lorib	0.056175	0.652222	0.569211	0.801862	0.420837	0.746773	0.765920	0.708016	0.300845	0.285591	0.228929	0.256707	0.202148	0.139120	0.014000	0.000155	
madam	0.132057	0.622832	0.642139	0.737083	0.226768	0.261858	0.599689	0.664728	0.497564	0.872858	0.499431	0.678294	0.501420	0.351144	0.159222	0.005818	
mafil	0.020937	0.430914	0.906847	0.514807	0.804513	0.712973	0.249131	0.178541	0.003411	0.100840	0.711231	0.810852	0.421845	0.411922	0.105078	0.072373	
magic	0.321665	0.228128	0.676676	0.217111	0.520534	0.641497	0.593163	0.916307	0.520687	0.899394	0.607194	0.640477	0.590256	0.715577	0.407533	0.217632	
majil	0.021263	0.596292	0.936257	0.548655	0.850538	0.614694	0.092347	0.091246	0.011792	0.063252	0.520810	0.799980	0.638502	0.806666	0.405142	0.244299	
maled	0.210336	0.772231	0.600435	0.843019	0.277809	0.435928	0.588582	0.693507	0.485977	0.781393	0.439242	0.639080	0.410249	0.568947	0.328053	0.181431	
malim	0.138368	0.732867	0.622281	0.828197	0.269772	0.285236	0.573151	0.776813	0.518619	0.800493	0.418095	0.728171	0.470137	0.515343	0.493818	0.039919	
manic	0.014303	0.697917	0.864905	0.621667	0.535894	0.414233	0.704672	0.415689	0.208326	0.686450	0.663241	0.813922	0.689609	0.466290	0.381763	0.031952	
maron	0.014605	0.652935	0.651949	0.815660	0.376842	0.400410	0.581644	0.214520	0.088436	0.652905	0.861973	0.782754	0.594694	0.446744	0.094792	0.019042	
mason	0.100088	0.554327	0.945225	0.705909	0.705558	0.573245	0.110409	0.010059	0.000991	0.078463	0.431513	0.608679	0.404965	0.230877	0.284751	0.604427	
melon	0.059112	0.732187	0.863161	0.769230	0.598149	0.619721	0.810611	0.447623	0.373164	0.753257	0.324454	0.467778	0.436790	0.359758	0.344915	0.054645	
menon	0.045619	0.914835	0.962965	0.924518	0.538582	0.415588	0.452267	0.112948	0.046137	0.322573	0.644881	0.535346	0.471374	0.428387	0.069193	0.061163	
merit	0.093568	0.662012	0.630316	0.800126	0.316696	0.500752	0.579785	0.382620	0.168304	0.772163	0.823256	0.594600	0.545079	0.460820	0.696360	0.292754	
metal	0.069481	0.632742	0.867089	0.640314	0.629840	0.769369	0.645628	0.486879	0.328124	0.748805	0.358962	0.650121	0.594057	0.369993	0.487030	0.017428	
mimic	0.116483	0.758497	0.931786	0.809802	0.741169	0.735965	0.243332	0.057964	0.009513	0.185782	0.754258	0.515696	0.394861	0.456676	0.098180	0.053885	
minel	0.035223	0.662076	0.903542	0.656846	0.481859	0.308480	0.601744	0.627830	0.782384	0.552366	0.476272	0.561663	0.648158	0.165429	0.269659	0.004885	
