RFAS1
RFAS2
RFAS3
RFAS4
RFAS5
RFAS6
RFAS7
RFAS8
RFAS9
RFAS10
RPAS11
RPAS12
RFAM12
RPMI8
RFAI5
RFAI6
RFAI7
RFAI8
RTAS3
RTAS4
RTAS5
RTAS6
RIP10
RIP11
RIP12
RIP13
RIP14
RIP15
RIP16
